Equipe,Posicao,Nome,PPG,RPG,APG,Altura,Peso,País,Idade,Data_de_nascimento,DRAFT,Experiência,Mês
Minnesota Timberwolves,Guard,Bones Hyland,6.8,1.1,1.4,1.88,77,USA,24 years,2000-09-14,2021 R1 Pick 26,3 Years,9
Phoenix Suns,Forward,Oso Ighodaro,3.7,3.6,1.1,2.13,107,USA,22 years,2002-07-14,2024 R2 Pick 40,Rookie,7
Minnesota Timberwolves,Forward-Guard,Joe Ingles,0.8,0.6,1.2,2.03,100,Australia,37 years,1987-10-02,Undrafted,10 Years,10
Toronto Raptors,Forward,Brandon Ingram,22.2,5.6,5.2,2.03,86,USA,27 years,1997-09-02,2016 R1 Pick 2,8 Years,9
San Antonio Spurs,Forward,Harrison Ingram,0.7,1.7,0.3,1.96,104,USA,22 years,2002-11-27,2024 R2 Pick 48,Rookie,11
Dallas Mavericks,Guard,Kyrie Irving,24.7,4.8,4.6,1.88,88,Australia,33 years,1992-03-23,2011 R1 Pick 1,13 Years,3
Orlando Magic,Forward,Jonathan Isaac,5.5,4.5,0.5,2.08,104,USA,27 years,1997-10-03,2017 R1 Pick 6,5 Years,10
Detroit Pistons,Guard,Jaden Ivey,17.6,4.1,4.0,1.93,88,USA,23 years,2002-02-13,2022 R1 Pick 5,2 Years,2
Memphis Grizzlies,Forward,GG Jackson,7.8,3.2,1.0,2.06,95,USA,20 years,2004-12-17,2023 R2 Pick 45,1 Year,12
Indiana Pacers,Forward,Isaiah Jackson,7.0,5.6,1.0,2.06,93,USA,23 years,2002-01-10,2021 R1 Pick 22,3 Years,1
Indiana Pacers,Guard,Quenton Jackson,5.3,1.5,1.7,1.96,78,USA,26 years,1998-09-15,Undrafted,2 Years,9
NA,NA,Reggie Jackson,4.4,1.4,1.5,1.88,94,USA,34 years,1990-04-16,2011 R1 Pick 24,13 Years,4
Milwaukee Bucks,Guard,Andre Jackson Jr.,3.6,2.9,1.3,1.98,95,USA,23 years,2001-11-13,2023 R2 Pick 36,1 Year,11
Memphis Grizzlies,Forward-Center,Jaren Jackson Jr.,22.4,5.7,2.1,2.08,110,USA,25 years,1999-09-15,2018 R1 Pick 4,6 Years,9
Golden State Warriors,Forward,Trayce Jackson-Davis,6.9,5.4,1.8,2.06,111,USA,25 years,2000-02-22,2023 R2 Pick 57,1 Year,2
Los Angeles Lakers,Guard,Bronny James,2.3,0.6,0.6,1.91,95,USA,20 years,2004-10-06,2024 R2 Pick 55,Rookie,10
Los Angeles Lakers,Forward,LeBron James,24.9,8.2,8.5,2.06,113,USA,40 years,1984-12-30,2003 R1 Pick 1,21 Years,12
Miami Heat,Guard,Jaime Jaquez Jr.,8.6,4.5,2.5,1.98,102,USA,24 years,2001-02-18,2023 R1 Pick 18,1 Year,2
Charlotte Hornets,Guard-Forward,DaQuan Jeffries,6.3,2.7,1.1,1.96,101,USA,27 years,1997-08-30,Undrafted,5 Years,8
Los Angeles Lakers,Center,Trey Jemison III,2.8,2.9,0.4,2.11,122,USA,25 years,1999-11-28,Undrafted,1 Year,11
Detroit Pistons,Guard,Daniss Jenkins,--,--,--,1.91,75,USA,23 years,2001-08-17,Undrafted,Rookie,8
Cleveland Cavaliers,Guard-Forward,Ty Jerome,12.0,2.5,3.4,1.96,88,USA,27 years,1997-07-08,2019 R1 Pick 24,5 Years,7
Oklahoma City Thunder,Guard,Isaiah Joe,9.8,2.6,1.5,1.91,75,USA,25 years,1999-07-02,2020 R2 Pick 49,4 Years,7
Washington Wizards,Guard,AJ Johnson,5.0,1.5,2.2,1.96,73,USA,20 years,2004-12-01,2024 R1 Pick 23,Rookie,12
Brooklyn Nets,Forward,Cameron Johnson,19.0,4.4,3.2,2.03,95,USA,29 years,1996-03-03,2019 R1 Pick 11,5 Years,3
Atlanta Hawks,Forward,Jalen Johnson,18.9,10.0,5.0,2.03,99,USA,23 years,2001-12-18,2021 R1 Pick 20,3 Years,12
Indiana Pacers,Forward,James Johnson,0.7,0.5,0.3,2.01,109,USA,38 years,1987-02-20,2009 R1 Pick 16,15 Years,2
San Antonio Spurs,Forward-Guard,Keldon Johnson,12.6,4.6,1.5,1.96,100,USA,25 years,1999-10-11,2019 R1 Pick 29,5 Years,10
